protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss,beta_false_safe_cons,false_safe_ci95_hi,false_unsafe_rate_rel,eligible,fallback_workload
event-disjoint target,rf_direct,RF direct,0.005,25,8,0.0677083333333333,0.0020437047101449,0.064753170289855,0.1158457880434782,2.6624177743846045,0.0038790760869565,0.064753170289855,True,0.1304177989130434
event-disjoint target,rf_direct,RF direct,0.005,50,8,0.0677083333333333,0.0020437047101449,0.064753170289855,0.1669384057971014,2.6624177743846045,0.0038790760869565,0.064753170289855,True,0.1304177989130434
event-disjoint target,rf_direct,RF direct,0.005,100,8,0.0677083333333333,0.0020437047101449,0.064753170289855,0.2691236413043478,2.6624177743846045,0.0038790760869565,0.064753170289855,True,0.1304177989130434
event-disjoint target,rf_direct,RF direct,0.0075,1,8,0.0354959239130434,0.0041117527173913,0.0339826766304347,0.038094429347826,2.381001855175044,0.0086328125,0.0339826766304347,False,0.0653668478260868
event-disjoint target,rf_direct,RF direct,0.0075,2,8,0.0354959239130434,0.0041117527173913,0.0339826766304347,0.0422061820652173,2.381001855175044,0.0086328125,0.0339826766304347,False,0.0653668478260868
event-disjoint target,rf_direct,RF direct,0.0075,5,8,0.0354959239130434,0.0041117527173913,0.0339826766304347,0.0545414402173913,2.381001855175044,0.0086328125,0.0339826766304347,False,0.0653668478260868
event-disjoint target,rf_direct,RF direct,0.0075,10,8,0.0354959239130434,0.0041117527173913,0.0339826766304347,0.0751002038043478,2.381001855175044,0.0086328125,0.0339826766304347,False,0.0653668478260868
event-disjoint target,rf_direct,RF direct,0.0075,25,8,0.0354959239130434,0.0041117527173913,0.0339826766304347,0.1367764945652174,2.381001855175044,0.0086328125,0.0339826766304347,False,0.0653668478260868
event-disjoint target,rf_direct,RF direct,0.0075,50,8,0.0354959239130434,0.0041117527173913,0.0339826766304347,0.2395703125,2.381001855175044,0.0086328125,0.0339826766304347,False,0.0653668478260868
event-disjoint target,rf_direct,RF direct,0.0075,100,8,0.0354959239130434,0.0041117527173913,0.0339826766304347,0.4451579483695652,2.381001855175044,0.0086328125,0.0339826766304347,False,0.0653668478260868
event-disjoint target,rf_direct,RF direct,0.01,1,8,0.0178442028985507,0.004831295289855,0.0226075634057971,0.0274388586956521,2.296597222470381,0.0108208786231884,0.0226075634057971,False,0.0356204710144928
event-disjoint target,rf_direct,RF direct,0.01,2,8,0.0178442028985507,0.004831295289855,0.0226075634057971,0.0322701539855072,2.296597222470381,0.0108208786231884,0.0226075634057971,False,0.0356204710144928
event-disjoint target,rf_direct,RF direct,0.01,5,8,0.0178442028985507,0.004831295289855,0.0226075634057971,0.0467640398550724,2.296597222470381,0.0108208786231884,0.0226075634057971,False,0.0356204710144928
event-disjoint target,rf_direct,RF direct,0.01,10,8,0.0178442028985507,0.004831295289855,0.0226075634057971,0.0709205163043478,2.296597222470381,0.0108208786231884,0.0226075634057971,False,0.0356204710144928
event-disjoint target,rf_direct,RF direct,0.01,25,8,0.0178442028985507,0.004831295289855,0.0226075634057971,0.1433899456521739,2.296597222470381,0.0108208786231884,0.0226075634057971,False,0.0356204710144928
event-disjoint target,rf_direct,RF direct,0.01,50,8,0.0178442028985507,0.004831295289855,0.0226075634057971,0.2641723278985507,2.296597222470381,0.0108208786231884,0.0226075634057971,False,0.0356204710144928
event-disjoint target,rf_direct,RF direct,0.01,100,8,0.0178442028985507,0.004831295289855,0.0226075634057971,0.5057370923913044,2.296597222470381,0.0108208786231884,0.0226075634057971,False,0.0356204710144928
event-disjoint target,rf_direct,RF direct,0.015,1,8,0.0029211956521739,0.0011848958333333,0.0181946331521739,0.0193795289855072,2.738507514253055,0.0030859375,0.0181946331521739,True,0.0199309329710145
event-disjoint target,rf_direct,RF direct,0.015,2,8,0.0029211956521739,0.0011848958333333,0.0181946331521739,0.0205644248188405,2.738507514253055,0.0030859375,0.0181946331521739,True,0.0199309329710145
event-disjoint target,rf_direct,RF direct,0.015,5,8,0.0029211956521739,0.0011848958333333,0.0181946331521739,0.0241191123188405,2.738507514253055,0.0030859375,0.0181946331521739,True,0.0199309329710145
event-disjoint target,rf_direct,RF direct,0.015,10,8,0.0029211956521739,0.0011848958333333,0.0181946331521739,0.0300435914855072,2.738507514253055,0.0030859375,0.0181946331521739,True,0.0199309329710145
